Index,0 [0x3][0x36],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x37],4 [0x5][0x30],5 [0x7][0x8],6 [0x5][0x32],7 [0x3][0x38],8 [0x3][0x39],9 [0x6][0xc],10 [0x6][0x10],11 [0x6][0x14],12 [0x6][0x18],13 [0x6][0x1c],14 [0x6][0x20],15 [0x6][0x24],16 [0x6][0x28],17 [0x6][0x2c],18 [0x5][0x34],19 [0x3][0x3a]
0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,"승리의 영광: 1단계","적 100마리 처치",5,0,0,262,3,1,11,100,0,0,0,0,0,0,0,1,1
2,1,"승리의 영광: 2단계","적 500마리 처치",5,0,0,262,3,1,11,500,0,0,0,0,0,0,0,2,1
3,1,"승리의 영광: 3단계","적 1,000마리 처치",10,0,0,262,3,1,11,1000,0,0,0,0,0,0,0,3,1
4,1,"승리의 영광: 4단계","적 5,000마리 처치",10,0,0,262,3,1,11,5000,0,0,0,0,0,0,0,4,1
5,1,"승리의 영광: 5단계","적 10,000마리 처치",10,0,0,262,3,1,11,10000,0,0,0,0,0,0,0,5,1
6,1,"승리의 영광: 6단계","적 50,000마리 처치",10,9,0,262,3,1,11,50000,0,0,0,0,0,0,0,6,1
7,1,"전쟁신 할로네의 총애","적 100,000마리 처치",30,0,2907,2554,3,1,11,100000,0,0,0,0,0,0,0,7,1
8,52,"거물 사냥꾼: 라노시아","바로메츠, 미끈한 사익스, 걸신들린 거트루드, 봄 남작, 이름없는 병사, 여섯팔 노장, 큰물소를 모두 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
9,52,"거물 사냥꾼: 검은장막 숲","아르슈, 여왕 볼리트, 장난꾸러기 잭, 시로코, 파이아, 배불뚝이 허트폭스, 역병의 왕자를 모두 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
10,52,"거물 사냥꾼: 다날란","장로 이끼뿔, 선인장 잭, 키다리거미, 번개손 코코룬, 둥지 지휘관, 바르디, 피라우스타를 모두 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
11,52,"거물 사냥꾼: 커르다스","우라에우스, 버럭이, 보송보송 던스탠을 모두 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
12,52,"거물 사냥꾼: 모르도나","도도레 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
13,52,"거물 사냥꾼: 시포셰이 동굴","잘리든 셰리든, 거대 빨판상어, 외톨이 커얼을 모두 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
14,52,"거물 사냥꾼: 야만족","집행자 로즐 토톨록, 불꽃주먹 아리그 로, 03단 단장 즈 가를 모두 토벌",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
15,52,"이름난 거물 사냥꾼","악명 높은 마물을 25종류 토벌",30,10,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
16,52,"진 이프리트 토벌","진 이프리트 토벌전에 참가하여 이프리트 처치",5,0,0,62912,2,0,0,0,0,0,0,0,0,0,0,0,1
17,52,"선왕 모그루 모그 XII세 토벌","선왕 모그루 모그 XII세 토벌전에 참가하여 선왕 모그루 모그 XII세 처치",5,0,0,62912,2,0,0,0,0,0,0,0,0,0,0,0,1
