Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x0][0xc],4 [0x3][0x26],5 [0x19][0x32],6 [0x1a][0x32],7 [0x1b][0x32],8 [0x3][0x27],9 [0x5][0x18],10 [0x5][0x1a],11 [0x7][0x10],12 [0x5][0x1c],13 [0x5][0x1e],14 [0x5][0x20],15 [0x7][0x14],16 [0x5][0x22],17 [0x3][0x28],18 [0x3][0x29],19 [0x3][0x2a],20 [0x3][0x2b],21 [0x3][0x2c],22 [0x2][0x31],23 [0x3][0x2d],24 [0x3][0x2e],25 [0x3][0x2f],26 [0x3][0x30],27 [0x1c][0x32],28 [0x1d][0x32],29 [0x1e][0x32],30 [0x1f][0x32],31 [0x5][0x24]
0,"","","","",0,false,false,false,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,0,0,0,0,true,true,false,false,0
1,"무작위 임무: 레벨링","","현재 참가 가능한 던전과 소규모 파티용 토벌전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무: 레벨링'의 경험치 및 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.<br>※ 군표 지급량은 참가한 직업의 레벨에 따라 변동합니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 던전, 토벌전",0,true,false,false,16,0,0,112034,0,100,5,0,0,4,108,2,0,0,0,1,0,90,0,true,true,false,false,0
2,"무작위 임무: 레벨 50/60 던전","","현재 참가할 수 있는 레벨 50 또는 레벨 60 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무: 레벨 50/60 던전'의 경험치와 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 레벨 50 또는 레벨 60 소규모 파티용 던전",0,true,false,false,50,45,0,112035,100,120,0,0,0,3,108,2,0,0,1,1,0,90,0,true,true,false,false,0
3,"무작위 임무: 주요 퀘스트","","현재 참가 가능한 주요 퀘스트용 대규모 임무 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무: 주요 퀘스트'의 경험치와 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 대규모 파티용 던전",0,true,false,false,50,42,0,112036,120,0,0,0,0,6,108,3,0,0,2,1,0,120,0,true,true,false,false,0
4,"무작위 임무: 길드 작전","","현재 참가 가능한 길드 작전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무: 길드 작전'의 경험치 및 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.<br>※ 군표 지급량은 참가한 직업의 레벨에 따라 변동합니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 4인 파티로 참가할 경우, 4인용 길드 작전이 배정되며 역할을 자유롭게 구성할 수 있습니다. 단, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 길드 작전",0,true,false,false,10,0,0,112037,0,0,0,0,0,7,108,3,0,0,3,1,0,30,0,true,true,false,false,0
5,"무작위 임무: 숙련자","","한 번 이상 완료한 적이 있는 숙련자용 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무: 숙련자'의 길 보너스는 참가한 직업의 레벨에 따라 결정되며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 숙련자 던전",2,true,true,false,70,280,0,112057,0,60,40,0,0,1,108,2,0,0,4,1,0,90,0,true,true,false,false,0
6,"무작위 임무: 토벌전","","현재 참가 가능한 토벌전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 대규모 파티용 토벌전",0,true,false,false,50,90,0,112056,0,60,10,0,0,5,108,3,0,0,5,1,0,60,0,true,true,false,false,0
7,"무작위 임무: 전장","","현재 참가 가능한 전장 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.","해당 임무: 전장",0,true,false,true,30,0,0,112083,0,50,20,600,1000,8,110,1,0,0,6,1,0,20,30,true,true,false,false,0
8,"무작위 임무: 레벨 70 던전","","한 번 이상 완료한 적이 있는 레벨 70 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ '무작위 임무: 레벨 70 던전'의 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.<br>※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 던전(레벨 70)",1,true,true,false,60,210,0,112123,0,100,15,0,0,2,108,2,0,0,7,1,0,90,0,true,true,false,false,0
9,"무작위 임무: 멘토","","한 번 이상 완료한 적이 있는 멘토용 임무 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.<br><br>※ 멘토 자격을 인증받은 캐릭터로만 참가할 수 있습니다.<br>※ '무작위 임무: 멘토'의 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.<br>※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.","해당 임무: 멘토용 임무",2,true,true,false,70,295,0,112144,0,30,10,0,0,9,108,1,0,0,8,1,0,30,120,true,true,false,false,0
