Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xc],4 [0x3][0xd],5 [0x3][0xe],6 [0x3][0xf],7 [0x19][0x14],8 [0x1a][0x14],9 [0x1b][0x14],10 [0x1c][0x14],11 [0x1d][0x14],12 [0x1e][0x14],13 [0x1f][0x14],14 [0x20][0x14],15 [0x19][0x15],16 [0x3][0x10],17 [0x1a][0x15],18 [0x3][0x11],19 [0x1b][0x15],20 [0x5][0xa],21 [0x1c][0x15],22 [0x1d][0x15],23 [0x3][0x12],24 [0x3][0x13],25 [0x1e][0x15]
0,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0,false
1,"석화","손발이 석화되어 행동이 불가능한 상태.",15001,0,2,6,1,true,false,true,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0,true
2,"기절","행동이 불가능한 상태.",15004,0,2,3,2,true,false,true,false,false,false,true,false,false,100,true,0,false,0,false,false,0,0,false
3,"수면","잠에 빠져 행동이 불가능한 상태.",15013,0,2,2,3,true,false,true,false,false,false,true,false,false,100,true,0,false,0,false,false,0,3,true
4,"혼절","정신을 잃어 행동이 불가능한 상태.",15003,0,2,8,0,true,false,true,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0,false
5,"능력 사용불가","능력을 사용할 수 없는 상태.",15015,0,2,15,0,false,false,false,false,false,false,true,false,false,100,true,0,false,0,false,false,0,0,false
6,"무기 기술 사용불가","무기 기술을 사용할 수 없는 상태.",15017,0,2,14,0,false,false,false,false,false,false,true,false,false,100,true,0,false,0,false,false,0,0,false
7,"침묵","마법을 시전할 수 없는 상태.",15005,0,2,7,0,false,false,false,false,false,false,true,false,false,100,true,0,false,0,false,false,0,22,false
8,"헤이스트","자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",15008,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
9,"둔화","자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 늘어난 상태.",15009,0,2,13,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
10,"구속 장치: 둔화","구속 장치의 영향으로 움직임이 둔해져, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 늘어난 상태.",15545,0,2,13,0,false,false,false,false,false,false,true,true,true,50,true,0,false,0,false,false,0,0,false
11,"혼란","혼란에 빠진 상태. 아군을 계속 공격한다.",15603,0,2,17,0,false,false,false,true,false,true,false,false,false,100,true,0,false,0,false,false,0,0,false
12,"레비테트","중력을 거슬러 허공에 뜬 상태.",15037,0,1,16,4,false,false,false,false,false,false,false,true,true,1,true,0,false,0,false,false,0,0,false
13,"속박","이동이 불가능한 상태.",15003,0,2,12,5,true,false,false,false,false,false,true,false,false,100,true,0,false,0,false,false,0,0,false
14,"과중력","이동 속도가 느려진 상태.",15002,0,2,4,6,false,false,false,false,false,false,true,false,false,100,true,1,false,0,false,false,0,0,false
15,"실명","어둠에 사로잡혀 명중률이 떨어진 상태.",15012,0,2,10,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
16,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,false,0,false,0,false,0,false,false,0,0,false
17,"마비","몸이 마비되어 잠깐씩 행동할 수 없는 상태.",15006,0,2,5,0,false,false,false,false,false,false,true,false,false,100,true,0,false,0,false,false,0,0,false
18,"독","독에 중독된 상태. HP가 서서히 줄어든다.",15007,0,2,1,0,false,false,false,false,false,false,true,false,false,10,true,0,false,0,false,false,0,0,false
19,"맹독","독에 중독된 상태. HP가 서서히 줄어든다.",15517,0,2,1,0,false,false,false,false,false,false,false,true,true,10,true,0,false,0,false,false,0,0,false
20,"TP 지속 피해","지속적으로 TP가 줄어드는 상태.",15025,0,2,17,0,false,false,false,false,false,false,true,false,false,10,true,0,false,0,false,false,0,0,false
21,"최대 HP 증가","HP 최대치가 증가한 상태.",15075,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
22,"최대 HP 감소","HP 최대치가 감소한 상태.",15076,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
23,"최대 MP 증가","MP 최대치가 증가한 상태.",15077,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
24,"최대 MP 감소","MP 최대치가 감소한 상태.",15078,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
25,"물리 공격력 상승","물리 공격력이 올라간 상태.",15050,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
26,"물리 공격력 감소","물리 공격력이 떨어진 상태.",15051,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
27,"명중률 상승","명중률이 올라간 상태.",15060,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
28,"명중률 감소","명중률이 떨어진 상태.",15061,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
29,"물리 방어력 상승","물리 방어력이 올라간 상태.",15052,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
30,"물리 방어력 감소","물리 방어력이 떨어진 상태.",15053,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
31,"회피력 상승","회피력이 올라간 상태.",15062,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
32,"회피력 감소","회피력이 떨어진 상태.",15063,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
33,"마법 공격력 상승","마법 공격력이 올라간 상태.",15054,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
34,"마법 공격력 감소","마법 공격력이 떨어진 상태.",15055,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
35,"마법 회복력 상승","마법 회복력이 올라간 상태.",15058,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
36,"마법 회복력 감소","마법 회복력이 떨어진 상태.",15059,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
37,"마법 방어력 상승","마법 방어력이 올라간 상태.",15056,0,1,16,0,false,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0,false
38,"마법 방어력 감소","마법 방어력이 떨어진 상태.",15057,0,2,17,0,false,false,false,false,false,false,true,false,false,50,true,0,false,0,false,false,0,0,false
39,"기절 무효","기절을 무효화하는 상태.",15566,0,1,16,0,false,false,false,false,false,false,false,true,true,100,true,0,false,0,false,false,0,0,false
40,"침묵 무효","침묵을 무효화하는 상태.",15567,0,1,16,0,false,false,false,false,false,false,false,true,true,100,true,0,false,0,false,false,0,0,false
41,"제작설비","제작설비의 도움을 받은 상태. 레벨 60 이하 제작자의 CP 최대치가 증가한다.",16107,0,1,16,0,false,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0,false
42,"초월하는 힘","자신의 한계를 넘어선 상태. HP 최대치가 증가하고, 적에게 주는 피해량과 회복마법 회복량이 증가한다.",16207,0,1,16,0,false,false,false,false,false,false,false,true,true,0,true,0,false,0,false,false,0,0,false
