Index,0 [0x0][0x0]
0,""
1,"활력이 8 증가합니다."
2,""
3,"활력이 16 증가합니다."
4,""
5,"활력이 24 증가합니다."
6,""
7,""
8,""
9,""
10,""
11,""
12,"활력이 8 증가합니다."
13,"활력이 16 증가합니다."
14,""
15,""
16,"활력이 24 증가합니다."
17,""
18,""
19,""
20,""
21,""
22,""
23,"힘이 8 증가합니다."
24,"힘이 16 증가합니다."
25,"힘이 24 증가합니다."
26,"질풍번개가 2단계까지 중첩됩니다."
27,""
28,""
29,""
30,""
31,"질풍번개가 3단계까지 중첩됩니다."
32,""
33,""
34,"힘이 8 증가합니다."
35,""
36,""
37,"힘이 16 증가합니다."
38,"힘이 24 증가합니다."
39,""
40,""
41,""
42,""
43,""
44,""
45,"민첩성이 8 증가합니다."
46,"민첩성이 16 증가합니다."
47,"<color #FF7B1A>육중한 사격</color> 사용 시 20% 확률로 <color #FF7B1A>직선 사격 효과 향상</color>이 발동합니다.<br><color?>직선 사격 효과 향상</color>: 10초 안에 실행하는 다음 직선 사격이 반드시 극대화됩니다."
48,"자동 공격을 제외한 기술 사용으로 주는 피해량이 10% 증가합니다."
49,""
50,""
51,"민첩성이 24 증가합니다."
52,""
53,"자동 공격을 제외한 기술 사용으로 주는 피해량이 20% 증가합니다."
54,""
55,""
56,"정신력이 8 증가합니다."
57,"정신력이 16 증가합니다."
58,""
59,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 10% 증가합니다."
60,"정신력이 24 증가합니다."
61,""
62,"<color #FF7B1A>케알</color> 시전 시 15% 확률로 <color #FF7B1A>케알라 효과 향상</color>이 발동합니다.<br><color?>케알라 효과 향상</color>: 15초 안에 시전하는 다음 케알라는 MP를 소비하지 않습니다."
63,""
64,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 30% 증가합니다."
65,""
66,""
67,"지능이 8 증가합니다."
68,"지능이 16 증가합니다."
69,""
70,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 10% 증가합니다.<br><color #FF7B1A>천상의 화염</color> 및 <color #FF7B1A>저승의 냉기</color>가 2단계까지 중첩됩니다."
71,""
72,""
73,"지능이 24 증가합니다."
74,""
75,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 30% 증가합니다.<br><color #FF7B1A>천상의 화염</color> 및 <color #FF7B1A>저승의 냉기</color>가 3단계까지 중첩되며, 3단계에서는 반대 극성 마법의 시전 시간이 50% 단축됩니다."
76,"<color #FF7B1A>파이어</color> 시전 시 40% 확률로 <color #FF7B1A>파이가 효과 향상</color>이 발동합니다.<br><color?>파이가 효과 향상</color>: 12초 안에 시전하는 다음 파이가는 MP를 소비하지 않으며, 즉시 시전됩니다."
77,"선더 또는 선더가의 지속 피해 발생 시 10% 확률로, 선더라 또는 선더쟈의 지속 피해 발생 시에는 3% 확률로  <color #FF7B1A>선더 계열 효과 향상</color>이 발동합니다.<br><color?>선더 계열 효과 향상</color>: 12초 안에 시전하는 다음 선더, 선더라, 선더가, 선더쟈의 시전 시간과 소비 MP가 0이 되며, 지속 피해 총 위력만큼 즉시 피해가 추가됩니다."
78,"원예가로 클래스 체인지했을 때, 자동으로 원예가의 눈 효과를 받습니다."
79,""
80,"'은신' 효과가 적용되는 마물의 최대 레벨이 30으로 상승합니다."
81,"'은신' 효과가 적용되는 마물의 최대 레벨이 40으로 상승합니다."
82,""
83,"'은신' 효과가 적용되는 마물의 최대 레벨이 50으로 상승합니다."
84,""
85,""
86,"광부로 클래스 체인지했을 때, 자동으로 광부의 눈 효과를 받습니다."
87,""
88,"'은신' 효과가 적용되는 마물의 최대 레벨이 30으로 상승합니다."
89,"'은신' 효과가 적용되는 마물의 최대 레벨이 40으로 상승합니다."
90,""
91,"'은신' 효과가 적용되는 마물의 최대 레벨이 50으로 상승합니다."
92,""
93,""
94,"성목과 약초밭에서 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
95,"성목과 약초밭에서 획득 횟수에 관한 특수한 성질을 발견할 수 있게 됩니다."
96,"성목과 약초밭에서 HQ 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
97,"성목과 약초밭에서 획득 개수에 관한 특수한 성질을 발견할 수 있게 됩니다."
98,"크리스탈에 속성 가호 효과가 적용됩니다."
99,"클러스터에 속성 가호 효과가 적용됩니다."
100,"광맥과 바위터에서 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
101,"광맥과 바위터에서 획득 횟수에 관한 특수한 성질을 발견할 수 있게 됩니다."
102,"광맥과 바위터에서 HQ 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
103,"광맥과 바위터에서 획득 개수에 관한 특수한 성질을 발견할 수 있게 됩니다."
104,"크리스탈에 속성 가호 효과가 적용됩니다."
105,"클러스터에 속성 가호 효과가 적용됩니다."
106,"모래바다에서 낚시할 수 있게 됩니다."
107,"구름바다에서 낚시할 수 있게 됩니다."
108,"'은신' 효과가 적용되는 마물의 최대 레벨이 30으로 상승합니다."
109,"'은신' 효과가 적용되는 마물의 최대 레벨이 40으로 상승합니다."
110,"'은신' 효과가 적용되는 마물의 최대 레벨이 50으로 상승합니다."
111,"레벨 15 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
112,"레벨 35 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
113,"레벨 50 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
114,"생미끼 낚시로 낚은 물고기로 다시 생미끼 낚시를 시도할 수 있습니다."
115,"에테르 순환 시전 시 1단계의 <color #FF7B1A>에테르 순환</color>이 부여됩니다."
116,"지능이 8 증가합니다."
117,"지능이 16 증가합니다."
118,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 10% 증가합니다.<br>소환수가 주는 피해량과 회복량이 10% 증가합니다."
119,"<color #FF7B1A>에테르 순환</color>이 최대 2단계까지 부여됩니다."
120,""
121,""
122,"지능이 24 증가합니다."
123,""
124,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 30% 증가합니다.<br>소환수가 주는 피해량과 회복량이 30% 증가합니다."
125,"<color #FF7B1A>에테르 순환</color>이 최대 3단계까지 부여됩니다."
126,""
127,""
128,"버디의 힘이 5% 증가합니다."
129,"버디의 HP 최대치가 10% 증가합니다."
130,"버디의 명중률이 5% 증가합니다."
131,"버디의 극대화가 15% 증가합니다."
132,"버디의 힘이 5% 증가합니다."
133,"버디의 HP 최대치가 10% 증가합니다."
134,"버디의 힘이 5% 증가합니다."
135,"버디의 HP 최대치가 5% 증가합니다."
136,"버디의 명중률이 5% 증가합니다."
137,"버디의 극대화가 15% 증가합니다."
138,"버디의 힘이 10% 증가합니다."
139,"버디의 공격 속도가 10% 증가합니다."
140,"버디의 정신력이 10% 증가합니다."
141,"버디의 HP 최대치가 5% 증가합니다."
142,"버디의 명중률이 5% 증가합니다."
143,"버디의 극대화가 15% 증가합니다."
144,"버디의 정신력이 15% 증가합니다."
145,"버디의 HP 최대치가 5% 증가합니다."
146,""
147,""
148,""
149,""
150,""
151,""
152,""
153,""
154,""
155,""
156,""
157,""
158,""
159,""
160,""
161,""
162,""
163,""
164,""
165,""
166,""
167,""
168,""
169,""
170,""
171,""
172,""
173,""
174,""
175,""
176,""
177,""
178,""
179,""
180,""
181,""
182,""
183,""
184,""
185,""
186,""
187,""
188,""
189,""
190,""
191,""
192,""
193,""
194,""
195,""
196,""
197,""
198,""
199,""
200,""
201,""
202,""
203,""
204,""
205,""
206,""
207,""
208,""
209,""
210,""
211,""
212,""
213,""
214,""
215,""
216,""
217,""
218,""
219,""
220,""
221,""
222,""
223,""
224,""
